Revenues,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 6,Unnamed: 7
Automotive sales,$,"78,509",nan,$,"67,210",$,"44,125"
Automotive regulatory credits,"1,790",nan,"1,776",nan,"1,465",nan,nan
Automotive leasing,"2,120",nan,"2,476",nan,"1,642",nan,nan
Total automotive revenues,"82,419",nan,"71,462",nan,"47,232",nan,nan
Energy generation and storage,"6,035",nan,"3,909",nan,"2,789",nan,nan
Services and other,"8,319",nan,"6,091",nan,"3,802",nan,nan
Total revenues,"96,773",nan,"81,462",nan,"53,823",nan,nan
Cost of revenues,nan,nan,nan,nan,nan,nan,nan
Automotive sales,"65,121",nan,"49,599",nan,"32,415",nan,nan
Automotive leasing,"1,268",nan,"1,509",nan,978,nan,nan
Total automotive cost of revenues,"66,389",nan,"51,108",nan,"33,393",nan,nan
Energy generation and storage,"4,894",nan,"3,621",nan,"2,918",nan,nan
Services and other,"7,830",nan,"5,880",nan,"3,906",nan,nan
Total cost of revenues,"79,113",nan,"60,609",nan,"40,217",nan,nan
Gross profit,"17,660",nan,"20,853",nan,"13,606",nan,nan
Operating expenses,nan,nan,nan,nan,nan,nan,nan
Research and development,"3,969",nan,"3,075",nan,"2,593",nan,nan
"Selling, general and administrative","4,800",nan,"3,946",nan,"4,517",nan,nan
Restructuring and other,—,nan,176,nan,(27),nan,nan
Total operating expenses,"8,769",nan,"7,197",nan,"7,083",nan,nan
Income from operations,"8,891",nan,"13,656",nan,"6,523",nan,nan
Interest income,"1,066",nan,297,nan,56,nan,nan
Interest expense,(156),nan,(191),nan,(371),nan,nan
"Other income (expense), net",172,nan,(43),nan,135,nan,nan
Income before income taxes,"9,973",nan,"13,719",nan,"6,343",nan,nan
(Benefit from) provision for income taxes,"(5,001)",nan,"1,132",nan,699,nan,nan
Net income,"14,974",nan,"12,587",nan,"5,644",nan,nan
Net (loss) income attributable to noncontrolling interests and redeemable noncontrolling interests in subsidiaries,(23),nan,31,nan,125,nan,nan
Net income attributable to common stockholders,$,"14,997",nan,$,"12,556",$,"5,519"
Net income per share of common stock attributable to common stockholders,nan,nan,nan,nan,nan,nan,nan
Basic,$,4.73,nan,$,4.02,$,1.87
Diluted,$,4.30,nan,$,3.62,$,1.63
Weighted average shares used in computing net income per share of common stock,nan,nan,nan,nan,nan,nan,nan
Basic,"3,174",nan,"3,130",nan,"2,95",nan,nan
Diluted,"3,485",nan,"3,475",nan,"3,38",nan,nan
