Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Revenues,nan,nan,nan,nan,nan,nan
Automotive sales,$,"78,509",$,"67,210",$,"44,125"
Automotive regulatory credits,nan,"1,790",nan,"1,776",nan,"1,465"
Automotive leasing,nan,"2,120",nan,"2,476",nan,"1,642"
Total automotive revenues,nan,"82,419",nan,"71,462",nan,"47,232"
Energy generation and storage,nan,"6,035",nan,"3,909",nan,"2,789"
Services and other,nan,"8,319",nan,"6,091",nan,"3,802"
Total revenues,nan,"96,773",nan,"81,462",nan,"53,823"
Cost of revenues,nan,nan,nan,nan,nan,nan
Automotive sales,nan,"65,121",nan,"49,599",nan,"32,415"
Automotive leasing,nan,"1,268",nan,"1,509",nan,978
Total automotive cost of revenues,nan,"66,389",nan,"51,108",nan,"33,393"
Energy generation and storage,nan,"4,894",nan,"3,621",nan,"2,918"
Services and other,nan,"7,830",nan,"5,880",nan,"3,906"
Total cost of revenues,nan,"79,113",nan,"60,609",nan,"40,217"
Gross profit,nan,"17,660",nan,"20,853",nan,"13,606"
Operating expenses,nan,nan,nan,nan,nan,nan
Research and development,nan,"3,969",nan,"3,075",nan,"2,593"
"Selling, general and administrative",nan,"4,800",nan,"3,946",nan,"4,517"
Restructuring and other,nan,—,nan,176,nan,(27)
Total operating expenses,nan,"8,769",nan,"7,197",nan,"7,083"
Income from operations,nan,"8,891",nan,"13,656",nan,"6,523"
Interest income,nan,"1,066",nan,297,nan,56
Interest expense,nan,(156),nan,(191),nan,(371)
"Other income (expense), net",nan,172,nan,(43),nan,135
Income before income taxes,nan,"9,973",nan,"13,719",nan,"6,343"
(Benefit from) provision for income taxes,nan,"(5,001)",nan,"1,132",nan,699
Net income,nan,"14,974",nan,"12,587",nan,"5,644"
Net (loss) income attributable to noncontrolling interests and redeemable noncontrolling interests,nan,nan,nan,nan,nan,nan
in subsidiaries,nan,(23),nan,31,nan,125
Net income attributable to common stockholders,$,"14,997",$,"12,556",$,"5,519"
Net income per share of common stock attributable to common stockholders,nan,nan,nan,nan,nan,nan
Basic,$,4.73,$,4.02,$,1.87
Diluted,$,4.30,$,3.62,$,1.63
