"Balance as of December 31, 2020",$,604,Unnamed: 1,"2,879",Unnamed: 2,$.1,3,$.2,"27,260",Unnamed: 4,$.3,363,$.4,"(5,401)",Unnamed: 6,$.5,"22,225",$.6,850,$.7,"23,075"
Adjustments for prior periods from adopting ASU 2020-06,—,nan,—,nan,—,nan,(474),—,nan,211,nan,(263),—,nan,(263),nan,nan,nan,nan,nan,nan
Exercises of conversion feature of convertible senior notes,—,nan,2,nan,—,nan,6,—,nan,—,nan,6,—,nan,6,nan,nan,nan,nan,nan,nan
Settlements of warrants,—,nan,112,nan,—,nan,—,—,nan,—,nan,—,—,nan,—,nan,nan,nan,nan,nan,nan
Issuance of common stock for equity incentive awards,—,nan,107,nan,—,nan,707,—,nan,—,nan,707,—,nan,707,nan,nan,nan,nan,nan,nan
Stock-based compensation,—,nan,—,nan,—,nan,"2,299",—,nan,—,nan,"2,299",—,nan,"2,299",nan,nan,nan,nan,nan,nan
Contributions from noncontrolling interests,2,nan,—,nan,—,nan,—,—,nan,—,nan,—,—,nan,—,nan,nan,nan,nan,nan,nan
Distributions to noncontrolling interests,(66),nan,—,nan,—,nan,—,—,nan,—,nan,—,(106),nan,(106),nan,nan,nan,nan,nan,nan
Buy-outs of noncontrolling interests,(15),nan,—,nan,—,nan,5,—,nan,—,nan,5,—,nan,5,nan,nan,nan,nan,nan,nan
Net income,43,nan,—,nan,—,nan,—,—,nan,"5,519",nan,"5,519",82,nan,"5,601",nan,nan,nan,nan,nan,nan
Other comprehensive loss,—,nan,—,nan,—,nan,—,(309),nan,—,nan,(309),—,nan,(309),nan,nan,nan,nan,nan,nan
"Balance as of December 31, 2021",$,568.0,nan,"3,100",nan,$,3,$,"29,803",nan,$,54,$,329,nan,$,"30,189",$,826.0,$,"31,015"
Settlements of warrants,—,nan,37,nan,—,nan,—,—,nan,—,nan,—,—,nan,—,nan,nan,nan,nan,nan,nan
Issuance of common stock for equity incentive awards,—,nan,27,nan,—,nan,541,—,nan,—,nan,541,—,nan,541,nan,nan,nan,nan,nan,nan
Stock-based compensation,—,nan,—,nan,—,nan,"1,806",—,nan,—,nan,"1,806",—,nan,"1,806",nan,nan,nan,nan,nan,nan
Distributions to noncontrolling interests,(46),nan,—,nan,—,nan,—,—,nan,—,nan,—,(113),nan,(113),nan,nan,nan,nan,nan,nan
Buy-outs of noncontrolling interests,(11),nan,—,nan,—,nan,27,—,nan,—,nan,27,(61),nan,(34),nan,nan,nan,nan,nan,nan
Net (loss) income,(102),nan,—,nan,—,nan,—,—,nan,"12,556",nan,"12,556",133,nan,"12,689",nan,nan,nan,nan,nan,nan
Other comprehensive loss,—,nan,—,nan,—,nan,—,(415),nan,—,nan,(415),—,nan,(415),nan,nan,nan,nan,nan,nan
"Balance as of December 31, 2022",$,409.0,nan,"3,164",nan,$,3,$,"32,177",nan,$,(361),$,"12,885",nan,$,"44,704",$,785.0,$,"45,489"
Issuance of common stock for equity incentive awards,—,nan,21,nan,—,nan,700,—,nan,—,nan,700,—,nan,700,nan,nan,nan,nan,nan,nan
Stock-based compensation,—,nan,—,nan,—,nan,"2,013",—,nan,—,nan,"2,013",—,nan,"2,013",nan,nan,nan,nan,nan,nan
Distributions to noncontrolling interests,(32),nan,—,nan,—,nan,—,—,nan,—,nan,—,(108),nan,(108),nan,nan,nan,nan,nan,nan
Buy-outs of noncontrolling interests,(39),nan,—,nan,—,nan,2,—,nan,—,nan,2,(17),nan,(15),nan,nan,nan,nan,nan,nan
Net (loss) income,(96),nan,—,nan,—,nan,—,—,nan,"14,997",nan,"14,997",73,nan,"15,070",nan,nan,nan,nan,nan,nan
Other comprehensive income,—,nan,—,nan,—,nan,—,218,nan,—,nan,218,—,nan,218,nan,nan,nan,nan,nan,nan
"Balance as of December 31, 2023",$,242.0,nan,"3,185",nan,$,3,$,"34,892",nan,$,(143),$,"27,882",nan,$,"62,634",$,733.0,$,"63,367"
