Unnamed: 0,Redeemable,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Additional,Other,Unnamed: 6,Deficit),Total,Noncontrolling,Unnamed: 7,Unnamed: 8
nan,Noncontrolling,nan,nan,nan,nan,nan,Paid-In,Comprehensive,nan,Retained,Stockholders’,Interests in,nan,Total
nan,Interests,Shares,nan,Amount,nan,nan,Capital,Income (Loss),nan,Earnings,Equity,Subsidiaries,nan,Equity
"Balance as of December 31, 2020",$ 604,"2,879",$,nan,3,$,"27,260",$ 363,$,"(5,401)","$ 22,225",$ 850,$,"23,075"
Adjustments for prior periods from adopting ASU 2020-06,—,—,nan,nan,—,nan,(474),—,nan,211,(263),—,nan,(263)
Exercises of conversion feature of convertible senior notes,—,2,nan,nan,—,nan,6,—,nan,—,6,—,nan,6
Settlements of warrants,—,112,nan,nan,—,nan,—,—,nan,—,—,—,nan,—
Issuance of common stock for equity incentive awards,—,107,nan,nan,—,nan,707,—,nan,—,707,—,nan,707
Stock-based compensation,—,—,nan,nan,—,nan,"2,299",—,nan,—,"2,299",—,nan,"2,299"
Contributions from noncontrolling interests,2,—,nan,nan,—,nan,—,—,nan,—,—,—,nan,—
Distributions to noncontrolling interests,(66),—,nan,nan,—,nan,—,—,nan,—,—,(106),nan,(106)
Buy-outs of noncontrolling interests,(15),—,nan,nan,—,nan,5,—,nan,—,5,—,nan,5
Net income,43,—,nan,nan,—,nan,—,—,nan,"5,519","5,519",82,nan,"5,601"
Other comprehensive loss,—,—,nan,nan,—,nan,—,(309),nan,—,(309),—,nan,(309)
"Balance as of December 31, 2021",$ 568,"3,100",$,nan,3,$,"29,803",$ 54,$,329,"$ 30,189",$ 826,$,"31,015"
Settlements of warrants,—,37,nan,nan,—,nan,—,—,nan,—,—,—,nan,—
Issuance of common stock for equity incentive awards,—,27,nan,nan,—,nan,541,—,nan,—,541,—,nan,541
Stock-based compensation,—,—,nan,nan,—,nan,"1,806",—,nan,—,"1,806",—,nan,"1,806"
Distributions to noncontrolling interests,(46),—,nan,nan,—,nan,—,—,nan,—,—,(113),nan,(113)
Buy-outs of noncontrolling interests,(11),—,nan,nan,—,nan,27,—,nan,—,27,(61),nan,(34)
Net (loss) income,(102),—,nan,nan,—,nan,—,—,nan,"12,556","12,556",133,nan,"12,689"
Other comprehensive loss,—,—,nan,nan,—,nan,—,(415),nan,—,(415),—,nan,(415)
"Balance as of December 31, 2022",$ 409,"3,164",$,nan,3,$,"32,177",$ (361),$,"12,885","$ 44,704",$ 785,$,"45,489"
Issuance of common stock for equity incentive awards,—,21,nan,nan,—,nan,700,—,nan,—,700,—,nan,700
Stock-based compensation,—,—,nan,nan,—,nan,"2,013",—,nan,—,"2,013",—,nan,"2,013"
Distributions to noncontrolling interests,(32),—,nan,nan,—,nan,—,—,nan,—,—,(108),nan,(108)
Buy-outs of noncontrolling interests,(39),—,nan,nan,—,nan,2,—,nan,—,2,(17),nan,(15)
Net (loss) income,(96),—,nan,nan,—,nan,—,—,nan,"14,997","14,997",73,nan,"15,070"
Other comprehensive income,—,—,nan,nan,—,nan,—,218,nan,—,218,—,nan,218
"Balance as of December 31, 2023",$ 242,"3,185",$,nan,3,$,"34,892",$ (143),$,"27,882","$ 62,634",$ 733,$,"63,367"
