Unnamed: 0,Unnamed: 1,Fair Value,Level I,Unnamed: 2,Level II,Unnamed: 4,Level III,Unnamed: 5,Unnamed: 6,Fair Value.1,Unnamed: 7,Level I.1,Unnamed: 8,Level II.1,Unnamed: 10,Level III.1,Unnamed: 11
Money market funds,$,109 $,109,$,—,$,nan,—,$,"2,188",$,"2,188",$,—,$,nan,—
U.S. government securities,nan,"5,136",—,nan,"5,136",nan,nan,—,nan,894,nan,—,nan,894,nan,nan,—
Corporate debt securities,nan,480,—,nan,480,nan,nan,—,nan,885,nan,—,nan,885,nan,nan,—
Certificates of deposit and time,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
deposits,nan,"6,996",—,nan,"6,996",nan,nan,—,nan,"4,253",nan,—,nan,"4,253",nan,nan,—
Commercial paper,nan,470,—,nan,470,nan,nan,—,nan,—,nan,—,nan,—,nan,nan,—
Total,$,"13,191 $",109,$,"13,082",$,nan,—,$,"8,220",$,"2,188",$,"6,032",$,nan,—
All of our money market funds were classified within Level I of the fair value hierarchy because they were valued using quoted prices in active,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"markets. Our U.S. government securities, certificates of deposit, commercial paper, time deposits and corporate debt securities are classified within Level",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
II of the fair value hierarchy and the market approach was used to determine fair value of these investments.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Our cash, cash equivalents and investments classified by security type as of December 31, 2023 and 2022 consisted of the following (in millions):",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,"December 31, 2023",nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,Gross,nan,nan,nan,Gross,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,Unrealized,nan,nan,Unrealized,nan,nan,nan,Cash and Cash,nan,nan,Short-Term,nan,nan
nan,nan,nan,Adjusted Cost,nan,Gains,nan,nan,nan,Losses,Fair Value,nan,nan,Equivalents,nan,Investments,nan,nan
Cash,nan,nan,$,"15,903",$,nan,— $,nan,nan,— $,nan,"15,903 $",nan,"15,903",$,nan,—
Money market funds,nan,nan,nan,nan,109,nan,—,nan,nan,—,nan,109,nan,109,nan,nan,—
U.S. government securities,nan,nan,nan,"5,136",nan,nan,1,nan,nan,(1),nan,"5,136",nan,277,nan,"4,859",nan
Corporate debt securities,nan,nan,nan,nan,485,nan,1,nan,nan,(6),nan,480,nan,—,nan,480,nan
Certificates of deposit and time deposits,nan,nan,nan,"6,995",nan,nan,1,nan,nan,—,nan,"6,996",nan,—,nan,"6,996",nan
Commercial paper,nan,nan,nan,nan,470,nan,—,nan,nan,—,nan,470,nan,109,nan,361,nan
"Total cash, cash equivalents and short-term",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
investments,nan,nan,$,"29,098",$,nan,3 $,nan,nan,(7) $,nan,"29,094 $",nan,"16,398",$,"12,696",nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,"December 31, 2022",nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,Gross,nan,nan,nan,Gross,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,Unrealized,nan,nan,Unrealized,nan,nan,nan,Cash and Cash,nan,nan,Short-Term,nan,nan
nan,nan,nan,Adjusted Cost,nan,Gains,nan,nan,nan,Losses,Fair Value,nan,nan,Equivalents,nan,Investments,nan,nan
Cash,nan,nan,$,"13,965",$,nan,— $,nan,nan,— $,nan,"13,965 $",nan,"13,965",$,nan,—
Money market funds,nan,nan,nan,"2,188",nan,nan,—,nan,nan,—,nan,"2,188",nan,"2,188",nan,nan,—
U.S. government securities,nan,nan,nan,897,nan,nan,—,nan,nan,(3),nan,894,nan,—,nan,894,nan
Corporate debt securities,nan,nan,nan,907,nan,nan,—,nan,nan,(22),nan,885,nan,—,nan,885,nan
Certificates of deposit and time deposits,nan,nan,nan,"4,252",nan,nan,1,nan,nan,—,nan,"4,253",nan,100,nan,"4,153",nan
"Total cash, cash equivalents and short-term",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
investments,nan,nan,$,"22,209",$,nan,1 $,nan,nan,(25) $,nan,"22,185 $",nan,"16,253",$,"5,932",nan
