Solar energy systems in service $,"6,755",$,"6,785"
Initial direct costs related to customer solar energy system lease acquisition costs,104,nan,104
nan,"6,859",nan,"6,889"
Less: accumulated depreciation and amortization (1),"(1,643)",nan,"(1,418)"
nan,"5,216",nan,"5,471"
Solar energy systems under construction,1,nan,2
Solar energy systems pending interconnection,12,nan,16
"Solar energy systems, net (2) $","5,229",$,"5,489"
"(1) Depreciation and amortization expense during the years ended December 31, 2023, 2022 and 2021 was $235 million, $235 million and $236",nan,nan,nan
"million, respectively.",nan,nan,nan
"(2) As of December 31, 2023 and 2022, there were $740 million and $802 million, respectively, of gross solar energy systems under lease pass-through",nan,nan,nan
"fund arrangements with accumulated depreciation of $157 million and $148 million, respectively.",nan,nan,nan
"Note 8 – Property, Plant and Equipment, Net",nan,nan,nan
"Our property, plant and equipment, net, consisted of the following (in millions):",nan,nan,nan
nan,"December 31,",nan,"December 31,"
nan,2023,nan,2022
"Machinery, equipment, vehicles and office furniture $","16,372",$,"13,558"
Tooling,"3,147",nan,"2,579"
Leasehold improvements,"3,168",nan,"2,366"
Land and buildings,"9,505",nan,"7,751"
"Computer equipment, hardware and software","3,799",nan,"2,072"
Construction in progress,"5,791",nan,"4,263"
nan,"41,782",nan,"32,589"
Less: Accumulated depreciation,"(12,057)",nan,"(9,041)"
Total $,"29,725",$,"23,548"
