Recourse debt:,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 15
2024 Notes,$,37,nan,$,—,nan,$,37,nan,$,—,nan,2.0,%,May 2024
RCF Credit Agreement,—,nan,—,nan,—,nan,"5,000",nan,Not applicable,nan,January 2028,nan,nan,nan,nan
Solar Bonds,—,nan,7,nan,7,nan,—,nan,4.70-5.75%,nan,March 2025 - January 2031,nan,nan,nan,nan
Other,—,nan,—,nan,—,nan,28,nan,Not applicable,nan,December 2026,nan,nan,nan,nan
Total recourse debt,37,nan,7,nan,44,nan,"5,028",nan,nan,nan,nan,nan,nan,nan,nan
Non-recourse debt:,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Automotive Asset-backed Notes,"1,906",nan,"2,337",nan,"4,259",nan,—,nan,0.60-6.57%,nan,July 2024-May 2031,nan,nan,nan,nan
Solar Asset-backed Notes,4,nan,8,nan,13,nan,—,nan,4.80,%,nan,December 2026,nan,nan,nan
Cash Equity Debt,28,nan,330,nan,367,nan,—,nan,5.25-5.81%,nan,July 2033-January 2035,nan,nan,nan,nan
Total non-recourse debt,"1,938",nan,"2,675",nan,"4,639",nan,—,nan,nan,nan,nan,nan,nan,nan,nan
Total debt,"1,975",nan,"2,682",nan,$,"4,683",nan,$,"5,028",nan,nan,nan,nan,nan,nan
Finance leases,398,nan,175,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Total debt and finance leases,$,"2,373",nan,$,"2,857",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
