Recourse debt:,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 15
2024 Notes,$,—,nan,$,37,nan,$,37,nan,$,—,nan,2.0,May 2024
Credit Agreement,—,nan,—,nan,—,nan,"2,266",nan,Not applicable,nan,July 2023,nan,nan,nan
Solar Bonds,—,nan,7,nan,7,nan,—,nan,4.70-5.75%,nan,March 2025 - January 2031,nan,nan,nan
Total recourse debt,—,nan,44,nan,44,nan,"2,266",nan,nan,nan,nan,nan,nan,nan
Non-recourse debt:,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Automotive Asset-backed Notes,984,nan,613,nan,"1,603",nan,—,nan,0.36-4.64%,nan,December 2023-September 2025,nan,nan,nan
Solar Asset-backed Notes,4,nan,13,nan,17,nan,—,nan,4.80,nan,nan,December 2026,nan,nan
Cash Equity Debt,28,nan,359,nan,397,nan,—,nan,5.25-5.81%,nan,July 2033-January 2035,nan,nan,nan
Automotive Lease-backed Credit Facilities,—,nan,—,nan,—,nan,151,nan,Not applicable,nan,September 2024,nan,nan,nan
Total non-recourse debt,"1,016",nan,985,nan,"2,017",nan,151,nan,nan,nan,nan,nan,nan,nan
Total debt,"1,016",nan,"1,029",nan,$,"2,061",nan,$,"2,417",nan,nan,nan,nan,nan
Finance leases,486,nan,568,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Total debt and finance leases,$,"1,502",nan,$,"1,597",nan,nan,nan,nan,nan,nan,nan,nan,nan
