Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 7,Principal,Unnamed: 9,Committed,Contractual,Contractual.1
nan,nan,Current,nan,Long-Term,nan,Balance,nan,Amount (2),Interest Rates,Maturity Date
Recourse debt:,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024 Notes,$,—,$,37,$,37,$,—,2.00 %,May 2024
Credit Agreement,nan,—,nan,—,nan,—,nan,"2,266",Not applicable,July 2023
Solar Bonds,nan,—,nan,7,nan,7,nan,—,4.70-5.75%,March 2025 - January 2031
Total recourse debt,nan,—,nan,44,nan,44,nan,"2,266",nan,nan
Non-recourse debt:,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Automotive Asset-backed Notes,nan,984,nan,613,nan,"1,603",nan,—,0.36-4.64%,December 2023-September 2025
Solar Asset-backed Notes,nan,4,nan,13,nan,17,nan,—,4.80 %,December 2026
Cash Equity Debt,nan,28,nan,359,nan,397,nan,—,5.25-5.81%,July 2033-January 2035
Automotive Lease-backed Credit Facilities,nan,—,nan,—,nan,—,nan,151,Not applicable,September 2024
Total non-recourse debt,nan,"1,016",nan,985,nan,"2,017",nan,151,nan,nan
Total debt,nan,"1,016",nan,"1,029",$,"2,061",$,"2,417",nan,nan
Finance leases,nan,486,nan,568,nan,nan,nan,nan,nan,nan
Total debt and finance leases,$,"1,502",$,"1,597",nan,nan,nan,nan,nan,nan
