Operating leases:,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Operating lease right-of-use assets,$,"4,180",nan,$,"2,563"
Accrued liabilities and other,$,672,nan,$,485
Other long-term liabilities,"3,671",nan,"2,164",nan,nan
Total operating lease liabilities,$,"4,343",nan,$,"2,649"
Finance leases:,nan,nan,nan,nan,nan
"Solar energy systems, net",$,23,nan,$,25
"Property, plant and equipment, net",601,nan,"1,094",nan,nan
Total finance lease assets,$,624,nan,$,"1,119"
Current portion of long-term debt and finance leases,$,398,nan,$,486
"Long-term debt and finance leases, net of current portion",175,nan,568,nan,nan
Total finance lease liabilities,$,573,nan,$,"1,054"
