perating leases:,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Operating lease right-of-use assets,$,"4,180",$,"2,563"
Accrued liabilities and other,$,672,$,485
Other long-term liabilities,nan,"3,671",nan,"2,164"
Total operating lease liabilities,$,"4,343",$,"2,649"
nance leases:,nan,nan,nan,nan
"Solar energy systems, net",$,23,$,25
"Property, plant and equipment, net",nan,601,nan,"1,094"
Total finance lease assets,$,624,$,"1,119"
Current portion of long-term debt and finance leases,$,398,$,486
"Long-term debt and finance leases, net of current portion",nan,175,nan,568
Total finance lease liabilities,$,573,$,"1,054"
