Unnamed: 0,Unnamed: 1,2023,Unnamed: 3,2022,Unnamed: 4,2021
Operating lease expense:,nan,nan,nan,nan,nan,nan
Operating lease expense (1),$,"1,153",$,798,$,627
Finance lease expense:,nan,nan,nan,nan,nan,nan
Amortization of leased assets,$,506,$,493,$,415
Interest on lease liabilities,nan,45,nan,72,nan,89
Total finance lease expense,$,551,$,565,$,504
Total lease expense,$,"1,704",$,"1,363",$,"1,131"
"(1) Includes short-term leases and variable lease costs, which are immaterial.",nan,nan,nan,nan,nan,nan
Other information related to leases where we are the lessee is as follows:,nan,nan,nan,nan,nan,nan
nan,nan,nan,"December 31, 2023",nan,"December 31, 2022",nan
Weighted-average remaining lease term:,nan,nan,nan,nan,nan,nan
Operating leases,nan,nan,nan,7.4 years,nan,6.4 years
Finance leases,nan,nan,nan,2.3 years,nan,3.1 years
Weighted-average discount rate:,nan,nan,nan,nan,nan,nan
Operating leases,nan,nan,nan,5.6 %,nan,5.3 %
Finance leases,nan,nan,nan,5.5 %,nan,5.7 %
Supplemental cash flow information related to leases where we are the lessee is as follows (in millions):,nan,nan,nan,nan,nan,nan
nan,nan,"Year Ended December 31,",nan,nan,nan,nan
nan,nan,2023,nan,2022,nan,2021
Cash paid for amounts included in the measurement of lease liabilities:,nan,nan,nan,nan,nan,nan
Operating cash outflows from operating leases,$,"1,084",$,754,$,616
Operating cash outflows from finance leases (interest payments),$,47,$,75,$,89
Leased assets obtained in exchange for finance lease liabilities,$,10,$,58,$,486
Leased assets obtained in exchange for operating lease liabilities,$,"2,170",$,"1,059",$,818
