"Beginning of period 343,564 $",30.65,Unnamed: 0,Unnamed: 1,"21,333 $",162.32
"Granted 9,521 $",226.5,nan,nan,"11,743 $",228.33
"Exercised or released (7,626) $",43.07,nan,nan,"(11,085) $",116.47
"Cancelled (1,438) $",194.23,nan,nan,"(2,903) $",192.22
"End of period 344,021 $",35.11,4.31 $,73.57,"19,088 $",225.01
"Vested and expected to vest, December 31, 2023 340,884 $",33.38,4.27 $,73.45,"18,446 $",225.76
"Exercisable and vested, December 31, 2023 329,124 $",27.07,4.11 $,72.90,nan,nan
"The weighted-average grant date fair value of RSUs granted in the years ended December 31, 2023, 2022 and 2021 was $228.33, $239.85 and",nan,nan,nan,nan,nan
"$261.33, respectively. The aggregate release date fair value of RSUs in the years ended December 31, 2023, 2022 and 2021 was $2.50 billion, $4.32",nan,nan,nan,nan,nan
"billion and $5.70 billion, respectively.",nan,nan,nan,nan,nan
"The aggregate intrinsic value of options exercised in the years ended December 31, 2023, 2022, and 2021 was $1.33 billion, $1.90 billion and",nan,nan,nan,nan,nan
"$26.88 billion, respectively. During the year ended December 31, 2021, our CEO exercised all of the remaining vested options from the 2012 CEO",nan,nan,nan,nan,nan
"Performance Award, which amounted to an intrinsic value of $23.45 billion.",nan,nan,nan,nan,nan
ESPP,nan,nan,nan,nan,nan
"Our employees are eligible to purchase our common stock through payroll deductions of up to 15% of their eligible compensation, subject to any",nan,nan,nan,nan,nan
plan limitations. The purchase price would be 85% of the lower of the fair market value on the first and last trading days of each six-month offering,nan,nan,nan,nan,nan
"period. During the years ended December 31, 2023, 2022 and 2021, under the ESPP we issued 2.1 million, 1.4 million and 1.5 million shares, respectively.",nan,nan,nan,nan,nan
"As of December 31, 2023, there were 97.8 million shares available for issuance under the ESPP.",nan,nan,nan,nan,nan
Fair Value Assumptions,nan,nan,nan,nan,nan
"We use the fair value method in recognizing stock-based compensation expense. Under the fair value method, we estimate the fair value of each",nan,nan,nan,nan,nan
stock option award with service or service and performance conditions and the ESPP on the grant date generally using the Black-Scholes option pricing,nan,nan,nan,nan,nan
model. The weighted-average assumptions used in the Black-Scholes model for stock options are as follows:,nan,nan,nan,nan,nan
nan,nan,nan,"Year Ended December 31,",nan,nan
nan,nan,2023,2022,nan,2021
Risk-free interest rate,nan,3.90 %,nan,3.11 %,0.66 %
Expected term (in years),nan,4.5,nan,4.1,4.3
Expected volatility,nan,63 %,nan,63 %,59 %
Dividend yield,nan,0.0 %,nan,0.0 %,0.0 %
