Current:,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 6,Unnamed: 7
Federal,$,48,nan,$,—,$,—
State,57,nan,62,nan,9,nan,nan
Foreign,"1,243",nan,"1,266",nan,839,nan,nan
Total current,"1,348",nan,"1,328",nan,848,nan,nan
Deferred:,nan,nan,nan,nan,nan,nan,nan
Federal,"(5,246)",nan,26,nan,—,nan,nan
State,(653),nan,1,nan,—,nan,nan
Foreign,(450),nan,(223),nan,(149),nan,nan
Total deferred,"(6,349)",nan,(196),nan,(149),nan,nan
Total (Benefit from) provision for income taxes,$,"(5,001)",nan,$,"1,132",$,699
