Tax at statutory federal rate,$,"2,094",Unnamed: 0,$.1,"2,881",$.2,"1,332"
"State tax, net of federal benefit",(372),nan,51,nan,6,nan,nan
Nondeductible executive compensation,23,nan,14,nan,201,nan,nan
Excess tax benefits related to stock-based compensation,(288),nan,(745),nan,"(7,123)",nan,nan
Nontaxable manufacturing credit,(101),nan,—,nan,—,nan,nan
Foreign income rate differential,(816),nan,(923),nan,(668),nan,nan
U.S. tax credits,(593),nan,(276),nan,(328),nan,nan
GILTI inclusion,670,nan,"1,279",nan,"1,008",nan,nan
Unrecognized tax benefits,183,nan,252,nan,28,nan,nan
Change in valuation allowance,"(5,962)",nan,"(1,532)",nan,"6,165",nan,nan
Other,161,nan,131,nan,78,nan,nan
(Benefit from) provision for income taxes,$,"(5,001)",nan,$,"1,132",$,699.0
