Deferred tax assets:,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Net operating loss carry-forwards,$,"2,826",nan,$,"4,486"
Research and development credits,"1,358",nan,"1,184",nan,nan
Other tax credits and attributes,827,nan,217,nan,nan
Deferred revenue,"1,035",nan,751,nan,nan
Inventory and warranty reserves,"1,258",nan,819,nan,nan
Stock-based compensation,230,nan,185,nan,nan
Operating lease right-of-use liabilities,930,nan,554,nan,nan
Capitalized research and development costs,"1,344",nan,693,nan,nan
Deferred GILTI tax assets,760,nan,466,nan,nan
Accruals and others,206,nan,178,nan,nan
Total deferred tax assets,"10,774",nan,"9,533",nan,nan
Valuation allowance,(892),nan,"(7,349)",nan,nan
"Deferred tax assets, net of valuation allowance","9,882",nan,"2,184",nan,nan
Deferred tax liabilities:,nan,nan,nan,nan,nan
Depreciation and amortization,"(2,122)",nan,"(1,178)",nan,nan
Investment in certain financing funds,(133),nan,(238),nan,nan
Operating lease right-of-use assets,(859),nan,(506),nan,nan
Other,(116),nan,(15),nan,nan
Total deferred tax liabilities,"(3,230)",nan,"(1,937)",nan,nan
"Deferred tax assets (liabilities), net of valuation allowance",$,"6,652",nan,$,247
