"December 31, 2020",$,380
Increases in balances related to prior year tax positions,117,nan
Decreases in balances related to prior year tax positions,(90),nan
Increases in balances related to current year tax positions,124,nan
"December 31, 2021",531,nan
Increases in balances related to prior year tax positions,136,nan
Decreases in balances related to prior year tax positions,(12),nan
Increases in balances related to current year tax positions,222,nan
Decreases in balances related to expiration of the statute of limitations,(7),nan
"December 31, 2022",870,nan
Increases in balances related to prior year tax positions,59,nan
Decreases related to settlement with tax authorities,(6),nan
Increases in balances related to current year tax positions,255,nan
Decreases in balances related to expiration of the statute of limitations,(4),nan
"December 31, 2023",$,"1,174"
