Assets,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Current assets,nan,nan,nan,nan,nan
Cash and cash equivalents,$,66,nan,$,68
"Accounts receivable, net",13,nan,22,nan,nan
Prepaid expenses and other current assets,361,nan,274,nan,nan
Total current assets,440,nan,364,nan,nan
"Solar energy systems, net","3,278",nan,"4,060",nan,nan
Other non-current assets,369,nan,404,nan,nan
Total assets,$,"4,087",nan,$,"4,828"
Liabilities,nan,nan,nan,nan,nan
Current liabilities,nan,nan,nan,nan,nan
Accrued liabilities and other,$,67,nan,$,69
Deferred revenue,6,nan,10,nan,nan
Current portion of debt and finance leases,"1,564",nan,"1,013",nan,nan
Total current liabilities,"1,637",nan,"1,092",nan,nan
"Deferred revenue, net of current portion",99,nan,149,nan,nan
"Debt and finance leases, net of current portion","2,041",nan,971,nan,nan
Other long-term liabilities,—,nan,3,nan,nan
Total liabilities,$,"3,777",nan,$,"2,215"
