Assets,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Current assets,nan,nan,nan,nan
Cash and cash equivalents,$,66,$,68
"Accounts receivable, net",nan,13,nan,22
Prepaid expenses and other current assets,nan,361,nan,274
Total current assets,nan,440,nan,364
"Solar energy systems, net",nan,"3,278",nan,"4,060"
Other non-current assets,nan,369,nan,404
Total assets,$,"4,087",$,"4,828"
Liabilities,nan,nan,nan,nan
Current liabilities,nan,nan,nan,nan
Accrued liabilities and other,$,67,$,69
Deferred revenue,nan,6,nan,10
Current portion of debt and finance leases,nan,"1,564",nan,"1,013"
Total current liabilities,nan,"1,637",nan,"1,092"
"Deferred revenue, net of current portion",nan,99,nan,149
"Debt and finance leases, net of current portion",nan,"2,041",nan,971
Other long-term liabilities,nan,—,nan,3
Total liabilities,$,"3,777",$,"2,215"
