Unnamed: 0,Unnamed: 1,2023,2022,Unnamed: 2,2021
Automotive segment,nan,nan,nan,nan,nan
Revenues,$,"90,738 $","77,553",$,"51,034"
Gross profit,$,"16,519 $","20,565",$,"13,735"
Energy generation and storage segment,nan,nan,nan,nan,nan
Revenues,$,"6,035 $","3,909",$,"2,789"
Gross profit,$,"1,141 $",288,$,(129)
The following table presents revenues by geographic area based on the sales location of our products (in millions):,nan,nan,nan,nan,nan
nan,nan,"Year Ended December 31,",nan,nan,nan
nan,nan,2023,2022,nan,2021
United States,$,"45,235 $","40,553",$,"23,973"
China,nan,"21,745","18,145",nan,"13,844"
Other international,nan,"29,793","22,764",nan,"16,006"
Total,$,"96,773 $","81,462",$,"53,823"
The following table presents long-lived assets by geographic area (in millions):,nan,nan,nan,nan,nan
nan,nan,nan,"December 31,",nan,"December 31,"
nan,nan,nan,2023,nan,2022
United States,nan,$,"26,629",$,"21,667"
Germany,nan,nan,"4,258",nan,"3,547"
China,nan,nan,"2,820",nan,"2,978"
Other international,nan,nan,"1,247",nan,845
Total,nan,$,"34,954",$,"29,037"
The following table presents inventory by reportable segment (in millions):,nan,nan,nan,nan,nan
nan,nan,nan,"December 31,",nan,"December 31,"
nan,nan,nan,2023,nan,2022
Automotive,nan,$,"11,139",$,"10,996"
Energy generation and storage,nan,nan,"2,487",nan,"1,843"
Total,nan,$,"13,626",$,"12,839"
